Date,Close
2023-10-13,36.279998779296875
2023-10-16,36.68000030517578
2023-10-17,37.66999816894531
2023-10-18,38.52000045776367
2023-10-19,38.34000015258789
2023-10-20,37.849998474121094
2023-10-23,35.349998474121094
2023-10-24,35.880001068115234
2023-10-25,36.06999969482422
2023-10-26,35.70000076293945
2023-10-27,35.439998626708984
2023-10-30,35.08000183105469
2023-10-31,34.7400016784668
2023-11-01,35.119998931884766
2023-11-03,35.540000915527344
2023-11-06,35.5099983215332
2023-11-07,34.91999816894531
2023-11-08,34.16999816894531
2023-11-09,34.880001068115234
2023-11-10,34.720001220703125
2023-11-13,35.689998626708984
2023-11-14,36.18000030517578
2023-11-16,35.54999923706055
2023-11-17,36.709999084472656
2023-11-20,36.7400016784668
2023-11-21,36.36000061035156
2023-11-22,35.15999984741211
2023-11-23,35.16999816894531
2023-11-24,35.27000045776367
